paperCount,citationCount,mutual_edge,ego_edge,hub,authority,average_degress,density,shortest_path,transitivity,num_community,node,neighbour_paper_mean,neighbour_citation_mean,neighbour_gender_ratio,gender,2015Ranking,ElectionYear,new_Id,subject
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,201,1985,1982521999,54
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1985,2096335938,34
0.229023384,0.238097673,0.054208685,0.027536971,0.997286784,0.993387829,0.008469651,0,0.358395438,0.007193295,0.714285714,0.003889733,0.261338032,0.185196356,0.442857143,1,109,1985,2471822634,12
0.190742625,0.250002413,0.277050044,0.207179487,0.882352942,0.917380544,0.025502213,0.052482992,0.515479818,0.311367288,0.19047619,0.000192146,1,0.46250442,0.375463468,0,0,1985,432288625,14
0.113886848,0.041022356,0.166228077,0.179487179,1,0.975183073,0.054651776,0.062927016,0.522155896,0.256278144,0.583333333,0.003577384,0.454540861,0.167194963,0.129291923,0,88,1985,2111067214,52
0.132169576,0.095857035,0.475314016,0.269662921,1,0.985108925,0.097450286,0.130485355,0.612674286,0.400710656,0.210526316,0.000600121,0.433483191,0.298493182,0.046391753,0,20,1985,2098910421,34
0.180087051,0.083240415,0.427545021,0.025092838,1,0.641390572,0.004462192,0.17104781,0.613089086,0.724998561,0.2,5.76E-05,0.204928055,0.403226291,0.177073625,0,0,1985,2148575553,13
0.074965612,0.04224396,0.157714559,0.029411765,1,0.85471339,0.003700106,0.018199814,0.715555004,0.094522879,0.714285714,0.000254918,0.367315567,0.161893726,0.262857143,0,29,1985,2156145608,12
0.334181078,0.163830301,0.38560382,0.212631579,1,0.999307578,0.02683494,0.00675577,0.844309715,0.388601458,0.571428571,0.001479145,0.326653441,0.30629302,0.565213823,0,58,1985,1099195904,14
0.065106816,0.020792509,0.638768185,0.316862745,1,0.950534595,0.017835517,0.027582046,0.913107744,0.421177665,0.333333333,0.00023811,0.264650389,0.1950763,0.268972367,0,29,1985,2470320180,14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,1986,2618136646,14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,8,1986,2169019283,14
0.087051143,0.141470707,0.185593051,0.111387721,0.993937174,0.994757745,0.010133302,0.003265624,0.422307913,0.057494965,0.25,0.002653239,0.704554891,0.994827021,0.168065967,0,37,1986,2108235573,13
0.116974973,0.033132962,0.217462258,0.044685876,1,0.666793587,0.002409856,0.043798141,0.583949782,0.189560682,0.45,9.53E-05,0.200167353,0.135268704,0.085210285,0,0,1986,1667032499,13
0.433367243,0.101752015,0.462888854,0.327567568,1,0.99929955,0.047030333,0.008603723,0.63028909,0.31649569,0.571428571,0.002924382,0.479985592,0.215031769,0.419092387,0,97,1986,2019532250,14
0.28636826,0.092712003,0.38775441,0.191081081,1,0.987128567,0.03049507,0.008942665,0.65295435,0.201944445,0.619047619,0.001392491,0.635405437,0.17004065,0.405235901,0,0,1986,2552960742,14
0.04806992,0.129263523,0.066249097,0.045945946,0.969032654,0.832292497,0.008105044,0.009595715,0.654227722,0.027659402,0.466666667,0.00047494,0.200710811,0.233631066,0.382554805,0,17,1986,2063544226,53
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1987,2052255596,13
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1987,2730081591,13
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1987,2798603097,13
0.216174975,0.122964429,0.272583979,0.060694836,1,0.864279889,0.028082692,0.000967232,0.482102178,0.030729416,0.476190476,0.006584192,0.243300889,0.130412847,0.642678186,0,26,1987,2152321714,14
0.13823934,0.022595823,0.056215639,0,0.754954955,0.546142954,0.000594241,0.08575523,0.499671615,0.030709021,0.142857143,2.15E-05,0.520869881,0.242444204,0.285714286,0,301,1987,2148820457,12
0.202441506,0.143308075,0.624471127,0.47591623,1,1,0.070585907,0.01749508,0.517370847,0.441036037,0.333333333,0.003087141,0.349884197,0.244321469,0.303233601,0,8,1987,2159081860,14
0.13601741,0.081901143,0.346791441,0.284610044,1,0.999262953,0.007483933,0.064005644,0.627192602,0.363028591,0.35,0.000198644,0.066015855,0.138064169,0.529503567,0,4,1987,124514036,13
0.107290234,0.079127225,0.101512631,0.213114754,1,0.973228184,0.005498755,0.033289213,0.657420255,0.134470166,0.857142857,0.000240174,0.386663498,0.150598303,0.409090909,0,41,1987,1984763415,12
0.158354115,0.075127472,0.332579185,0.086021505,1,0.787527051,0.046095378,0.074078379,0.675869031,0.080097668,0.263157895,0.000280395,0.33633642,0.212943498,0.1575,0,0,1987,2172233844,34
0.442643392,0.472879641,0.204932976,0.130350732,1,0.999832148,0.126485816,0.007620867,0.716458561,0.093864279,0.421052632,0.011831144,0.317644697,0.147765968,0.137842466,0,7,1987,350567680,34
0.188638019,0.040752534,0.193452381,0.146551724,1,0.906343656,0.012062359,0.047416203,0.73857144,0.293508747,0.333333333,0.00021144,0.300774307,0.224404839,0.443089793,0,16,1987,2104378797,53
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,24,1988,2602723040,34
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1988,2143996853,13
0.342763874,1,0.280692384,0.31005804,1,1,0.018195308,0.011315557,0.415567298,0.170288079,0.4,0.003568625,0.045376378,0.063114603,0.157030477,0,0,1988,2271662907,13
0.114167813,0.135872496,0.309792277,0.297297297,0.913559319,0.998595614,0.006644077,0.061789424,0.457194892,0.212151609,0.285714286,0.000183138,0.694419002,0.703778098,0.245283019,0,7,1988,2154933465,12
0.276703967,0.111395338,0.33558157,0.256376663,1,1,0.049630468,0.005268078,0.568862399,0.174273682,0.333333333,0.004849606,0.193924255,0.128270204,0.392398564,0,8,1988,2137912414,14
